NM_CANDIDATO,Partido,NM_UE,Estado,total
SERGIO DEL BIANCHI JUNIOR,PSD,ESPÍRITO SANTO DO PINHAL,SP,25620.0
GETULIO CERIOLI,PDT,LAGOA VERMELHA,RS,25616.0
GUSTAVO FRANÇA DOS SANTOS,REPUBLICANOS,ARARUNA,PR,25614.0
JOSE GILBERTO LISBOA,PSB,MONTE HOREBE,PB,25600.0
DIEGO APARECIDO PEREIRA MIGUEL,PSD,DOLCINÓPOLIS,SP,25599.0
DANILO COELHO DOMINGOS,PSB,RIBEIRÃOZINHO,MT,25596.0
LEANDRO ROGÉRIO FERREIRA,PSD,CORONEL FREITAS,SC,25565.0
CARLOS SÉRGIO RUFINO MOREIRA,PSB,IPU,CE,25560.0
LUIS GUSTAVO CHAVES ZORDAN,MDB,ORLÂNDIA,SP,25545.0
MARCO ANTONIO FERREIRA,PL,ALTAIR,SP,25526.7
TIAGO ROCHA,PL,SÃO GABRIEL DA PALHA,ES,25500.0
JOEL WANDERLEI NIERO,NOVO,ORLEANS,SC,25480.0
SEVERINO RODRIGUES DA SILVA,MDB,SÃO JOSÉ DE MIPIBU,RN,25467.97
GERALDO DO NASCIMENTO CARVALHO,PSTU,TERESINA,PI,25450.0
ERCÍLIO CONFORT LORENA,PT,HELIODORA,MG,25444.6
ROZÂNGELA FERREIRA SILVA,REDE,PASSAGEM,PB,25426.72
TATIANA PIRES PEREIRA,UNIÃO,BORDA DA MATA,MG,25421.0
FABIEL CRISTOVÃO PORT,REPUBLICANOS,TRÊS COROAS,RS,25418.05
IVAN RECH,PL,ITAIÓPOLIS,SC,25417.0
MARCONE VICENTE DOS SANTOS,PP,SÃO VICENTE FÉRRER,PE,25350.0
HAMILTON LIMA PAULA,REPUBLICANOS,MARLIÉRIA,MG,25334.77
SILVIO LUIS DA SILVA RAFAELI,PDT,TAPES,RS,25325.0
MARCIO ANTONIO CAMPOS COSTA,PT,SÃO JOÃO DA PONTE,MG,25316.0
INACIO MONTEIRO MACIEL,PDT,OIAPOQUE,AP,25300.0
WILSON DE OLIVEIRA ROCHA,PT,SÃO JOSÉ DOS PINHAIS,PR,25244.92
MARINO KUTIANSKI,PSDB,INÁCIO MARTINS,PR,25240.04
CARLOS HENRIQUE ROSSI CATALANI,PSD,PENÁPOLIS,SP,25220.0
MAKERLY PEREIRA DE AGUIAR,AVANTE,COLUNA,MG,25199.0
SUELY PEREIRA DE SOUZA,PP,SÃO DOMINGOS DAS DORES,MG,25190.0
ROBERTA CANDIDA CAETANO,MDB,LEOPOLDO DE BULHÕES,GO,25170.2
HERMES ANTONIO SANTA ROSA,PSD,FAXINAL,PR,25152.5
CARLOS AUGUSTO CARVALHO BALTHAZAR,PL,RIO DAS OSTRAS,RJ,25130.0
ELMIS MANNRICH,MDB,TIJUCAS,SC,25119.25
MAX VIDA,REPUBLICANOS,PALMEIRA,PR,25117.28
PAULO ROBERTO VELOSO,PT,UBÁ,MG,25089.88
ADILSON RIBEIRO,UNIÃO,IBIÚNA,SP,25084.44
GEOVANI JOSÉ AITA,MDB,SERTÃO,RS,25083.35
PAULO NEIDE MELO FRAGOSO,PSB,JUNCO DO SERIDÓ,PB,25068.0
EDSON SANTOS ALBUQUERQUE,MDB,CRISTÁLIA,MG,25021.05
GIDEONNE FEITOSA DE OLIVEIRA,PT,ARNEIROZ,CE,25012.3
ADÃO ALVES DE CARVALHO FILHO,PSD,ITAGUAÇU DA BAHIA,BA,25000.0
PAULO ROMEIRO DE ALMEIDA SOARES,PODE,JAÚ,SP,25000.0
STELA DE CAMARGO ALVES PATUCCI,MDB,PEDRO DE TOLEDO,SP,25000.0
JOELSON OLIVEIRA DO ROSARIO,PSD,AMÉRICA DOURADA,BA,25000.0
WANDERSON CERQUEIRA DE MENEZES,PC do B,ARRAIAS,TO,25000.0
ALYSON CLEITON DA SILVA,PDT,SÃO MIGUEL,RN,25000.0
ERALDO FÉLIX DA SILVA,REPUBLICANOS,ÉRICO CARDOSO,BA,25000.0
JANE MARIA SOARES DE MEDEIROS,MDB,SÃO VICENTE,RN,25000.0
VINICIUS DO VALE DE SOUZA,PT,UBATÃ,BA,25000.0
ARNALDO BORGO FILHO,PODE,VILA VELHA,ES,25000.0
LEVI MARQUES DE SOUZA,PDT,BREJETUBA,ES,25000.0
RODNEY MALVEIRA DA SILVA,PT,PASSOS,MG,25000.0
JOSÉ IRAN MENEZES DA SILVA JUNIOR,MDB,UNIÃO DOS PALMARES,AL,24976.73
RODRIGO SERGIO NASCIMENTO,PL,CUNHA,SP,24968.0
WILTON COUTINHO SILVA,MDB,MASSAPÊ DO PIAUÍ,PI,24965.0
VAGNER ESPINDOLA RODRIGUES,PSD,CRICIÚMA,SC,24960.0
PAULO CÉSAR SILVANO,PT,CARMO DO PARANAÍBA,MG,24958.69
FABIANO GENEROSO DE ALMEIDA,PV,VARGINHA,MG,24947.5
PEDRO MILHOMEM MELLO SILVA,PRD,SÃO SIMÃO,SP,24905.0
RENAN CRISTIAN PAVI,PODE,VALE REAL,RS,24899.5
MARIA LÚCIA TERESINHA GROTTA,PSB,BARRINHA,SP,24856.0
HELIO HUMBERTO LIMA FILHO,PSB,ATÍLIO VIVÁCQUA,ES,24823.0
ANTONIO FERNANDO TEIGÃO,REPUBLICANOS,PITANGA,PR,24819.4
VERA LUCIA GUARDIEIRO,PSB,CONQUISTA,MG,24817.5
LUCIANO PAMPONET DE SOUSA,PSD,MACAJUBA,BA,24770.0
ANDRE LUIS MOIMAS GROSSO,PP,BIRIGUI,SP,24766.5
DELCIO JOSÉ SATO,PSD,UBATUBA,SP,24740.0
RENAN LEAL DELABARY,PP,LAVRAS DO SUL,RS,24723.0
NILTON ADRIANO DOS SANTOS,PL,CAPELA DO ALTO,SP,24700.0
GEOVANIO GUALBERTO MACEDO,PSD,PIMENTA,MG,24685.0
RUBENS ANTONIO MARRONI FURINI,PP,TENENTE PORTELA,RS,24664.5
FABRICIO SCHMITZ,PL,SANTA ROSA DE LIMA,SC,24660.0
ADRIANA APARECIDA MIALICHI HORI,PSD,JABOTICABAL,SP,24635.4
MARCO AURÉLIO RAMINHO,PDT,SANTO ANTÔNIO DO GRAMA,MG,24633.0
FABIO JERONIMO MARQUES,MDB,MONTE AZUL PAULISTA,SP,24600.0
MARCOS DOS SANTOS DOMINGOS,UNIÃO,IPORANGA,SP,24579.8
EVERILSON CLEBER LEITE,PL,PRATÁPOLIS,MG,24579.0
VALDIR ZANELLA,PP,IPUMIRIM,SC,24579.0
KELISSANDER SALIBA SANTOS,PSD,JUATUBA,MG,24547.5
ROSELÍDIA LUSTOSA DE SOUSA MARQUES,PT,SÃO GONÇALO DO GURGUÉIA,PI,24510.0
EDUARDO CARNEIRO DE BRITO,SOLIDARIEDADE,MAMANGUAPE,PB,24500.0
HÉLIO SEVERINO DE SOUZA,MDB,CUITÉ DE MAMANGUAPE,PB,24500.0
DARLON ALVES MADEIRA,UNIÃO,NOVA RESENDE,MG,24500.0
ONDUMAR FERREIRA BORGES JUNIOR,PP,LUÍS EDUARDO MAGALHÃES,BA,24500.0
JERÔNIMO NETO BRANDÃO,PT,MORRINHOS,CE,24475.0
JOSE GERALDO DIEFENTHAELER DIAS,MDB,GENERAL CÂMARA,RS,24475.0
FERNANDO FABRICIO PAGLIACI,PSD,SANTA AMÉLIA,PR,24472.989999999998
MARCOS VINICIUS SOUZA CARVALHO,UNIÃO,SANTA MARIA DO SALTO,MG,24420.25
RICARDO PELEGRINI REZENDE,PDT,SANTA MARGARIDA,MG,24417.35
MARCELO JOSE DE ALMEIDA,UNIÃO,ERVÁLIA,MG,24413.79
THIAGO DE OLIVEIRA,REPUBLICANOS,SANTA CRUZ DAS PALMEIRAS,SP,24387.489999999998
MARIA ERONEIDE DOS SANTOS GOMES,MDB,CAPITÃO DE CAMPOS,PI,24376.0
HOMERO PINELLI SEVERO LINS,PSD,RANCHARIA,SP,24369.5
ANDERSON DA COSTA,PL,POÇO FUNDO,MG,24364.0
LUIZ CARLOS COUTINHO GARCEZ,PP,TAPES,RS,24358.0
LEANDRO LUIZ DE SOUZA MAGALHÃES,PT,VOLTA GRANDE,MG,24350.2
ARNALDO SOARES PASCOAL,AVANTE,PAULISTAS,MG,24337.0
BENEDITO RAFAEL DA SILVA,PSD,SALESÓPOLIS,SP,24314.079999999998
JOSÉ LUNA,UNIÃO,JUCÁS,CE,24300.0
EDINALDO SOARES DE SOUZA,PT,VESPASIANO,MG,24294.62
ELZIO MOTA DOURADO,PP,MIRAVÂNIA,MG,24236.5
JORGE IVAN CASSARO,PSD,JAÚ,SP,24233.4
PAULO JOSE ROSSI,PL,AMPARO,SP,24208.5
BENJAMIN BRAGA LISBOA,PT,SÃO GERALDO,MG,24200.0
RIVALNEY DESSERBELLES PEDROSA,PT,PINHEIRAL,RJ,24181.3
FRANCISCO LEONI NETO,PSD,BARIRI,SP,24161.52
FAUSTO REIS NOGUEIRA,PT,MONTE CARMELO,MG,24150.0
DANIEL ANTONIO FERREIRA,REPUBLICANOS,ITIRAPUÃ,SP,24101.0
LUIS GUILHERME PANONE,PSD,DESCALVADO,SP,24100.0
ALVARO FRANCISCO FIGUEIREDO JUNIOR,PL,PIEDADE,SP,24100.0
MILTON LEMES DE PAULA,UNIÃO,ARAÇU,GO,24091.4
LUIZ LAZARO SORVOS,PP,NOVA OLÍMPIA,PR,24090.0
MARCEL VIEIRA RODRIGUES DA CUNHA,PP,PRATA,MG,24059.78
FERNANDO HENRIQUE LIMA CAVALCANTE,MDB,MATRIZ DE CAMARAGIBE,AL,24055.0
ARGEMIRO CAVALCANTI PIMENTEL,REPUBLICANOS,MACHADOS,PE,24050.0
LUIZ CARLOS ASSUNCAO,PSB,CAMPINA GRANDE DO SUL,PR,24029.3
JULIANA DE SOUSA SANTOS,PODE,SANTA BRANCA,SP,24025.0
JOÃO PAULO MONTEIRO DE MORAIS,PSDB,PILAR DE GOIÁS,GO,24000.0
ADALBERTO JOSÉ DE ALCÂNTARA,MOBILIZA,QUARTEL GERAL,MG,24000.0
CLAUDEMIR REZENDE BARROS,PL,FLORIANO,PI,24000.0
ADRIANE RADECKI ZIEGERT,PSD,CAJUEIRO DA PRAIA,PI,24000.0
CLAUDIO RENATO DE AZEVEDO FILHO,PT,NOVO HAMBURGO,RS,24000.0
MARCELO GOSKI DE MATOS,PP,SANTIAGO,RS,23997.65
CESAR ULIAN,PP,FLORES DA CUNHA,RS,23990.0
ROMULO COSTA ARRUDA,REPUBLICANOS,SÃO PEDRO DOS CRENTES,MA,23976.0
LINEU BUENO DE OLIVEIRA FILHO,NOVO,VALINHOS,SP,23968.66
MARIA CELIA GAMA PERES,PSD,SÃO PEDRO DOS FERROS,MG,23965.0
VELTON VICENTE HAHN,PT,PONTÃO,RS,23943.0
BRUNO HERAKI PANDINI,NOVO,ARAÇATUBA,SP,23940.03
CILENE MOREIRA DE SABINO DE OLIVEIRA,UNIÃO,COLARES,PA,23920.0
CELSO FLORÊNCIO DE SOUZA,PL,JACAREÍ,SP,23880.0
JOZÉ IVAN ARAÚJO MORORÓ,PT,HIDROLÂNDIA,CE,23871.0
RICARDO DA SILVA PAZ,PL,RIACHO DOS MACHADOS,MG,23850.0
FRANCISCO MARCÍLIO COELHO BRITO,PSB,BANABUIÚ,CE,23810.0
MARCOS ANTONIO LISE,UNIÃO,APUÍ,AM,23805.5
GERALDO FERREIRA DA SILVA,PODE,FREI LAGONEGRO,MG,23750.0
PAULO VICENTE CALEFFI,PSD,BENTO GONÇALVES,RS,23679.99
MARIA MADALENA DE OLIVEIRA FREITAS,PT,MANAQUIRI,AM,23674.0
JOSÉ ALBERTO DE OLIVEIRA NADUR,PT,TRÊS CORAÇÕES,MG,23650.0
JULIO CESAR RIBEIRO ALVES,PRD,CARATINGA,MG,23650.0
NELSON MOREIRA DE PAULA,PSB,OLARIA,MG,23649.0
WAGNO ALMEIDA DUARTE,PRD,DESTERRO DE ENTRE RIOS,MG,23643.0
LUIZ ITAMAR GONZAGA,PL,NOVA RESENDE,MG,23602.32
TÉRCIO NUNES OLIVEIRA,PP,TEOFILÂNDIA,BA,23595.0
GLAUCO BRAGA FAVERO,PSD,PEQUERI,MG,23581.1
RITA DE CASSIA DAS GRAÇAS SANTOS,PP,SARZEDO,MG,23573.0
ERONILDES FRANCISCO DOS SANTOS,PSB,TARRAFAS,CE,23569.0
JARBAS DANIEL DA ROSA,PDT,VENÂNCIO AIRES,RS,23549.0
LEOARREN TÚLIO DE SOUSA CUNHA,PL,ESTREITO,MA,23506.32
FERNANDO JOSE PIFFER,PSD,BEBEDOURO,SP,23500.0
ANTONIO BRUNO CARDOSO DOS SANTOS,PL,SÃO JOÃO DO CARÚ,MA,23500.0
GERONCIO SUCUPIRA JUNIOR,REPUBLICANOS,SÃO FRANCISCO,PB,23462.3
ARTUR RICARDO NOLTE,PSD,TIBAGI,PR,23446.0
ROSELY CRISTIANE GOMES GARCIA PEDRÃO,MDB,CEDRAL,SP,23443.97
BASILIO SACONI NETO,MDB,TIETÊ,SP,23440.0
CLOVES JUNIOR SALDANHA CHAGAS,PDT,SÃO CAETANO DE ODIVELAS,PA,23400.0
IVAIR FRANCO DOS SANTOS,UNIÃO,INDIARA,GO,23384.0
MARCELO FERREIRA TELES,PT,SÃO GONÇALO DO AMARANTE,CE,23368.0
JOSE GAUDENCIO ALVES DE BRITO,MDB,MISSAL,PR,23348.0
JOSE EDUARDO TERRA VALLORY,PT,CAPITÓLIO,MG,23341.0
RAIMUNDO NONATO DANTAS DE OLIVEIRA,PT,CAJAMAR,SP,23340.0
JAIME ANTONIO DE SOUZA,PL,SÃO JOÃO DO ITAPERIÚ,SC,23299.85
PAULO RICARDO BONFIM CARNEIRO,PP,TANQUE NOVO,BA,23296.0
MARCELO DONDE,PP,VACARIA,RS,23290.0
CLERIO LIMA FILHO,PSD,MORRO DO PILAR,MG,23280.0
ANTONIO VENÂNCIO NETO,UNIÃO,ASTOLFO DUTRA,MG,23250.32
CLAUDIR MACIEL,PSB,BALNEÁRIO CAMBORIÚ,SC,23236.0
IRINEU FERREIRA CAMILO,PSB,RIO BONITO DO IGUAÇU,PR,23224.0
ELIAS DA SILVA COUTO,PDT,RIBAS DO RIO PARDO,MS,23200.0
EDNEZIO SILVA DOS SANTOS,AVANTE,FREI LAGONEGRO,MG,23195.760000000002
DEMIAN BENEDICT MENKE,PSD,ANGATUBA,SP,23180.39
NELSON JOSÉ NEVES HONORATO,UNIÃO,COXIXOLA,PB,23180.0
JORGE NIVAL LOPES BISPO,MDB,NOVO REPARTIMENTO,PA,23180.0
JOSÉ RIBEIRO DE MOURA,PP,QUITANDINHA,PR,23145.0
RUBENS JUSTO NETO,PSD,PRATÂNIA,SP,23132.64
IZAEL ALVES SILVA,PODE,SERRA DO SALITRE,MG,23107.3
TAÍS CARDOSO LOPES,PSDB,PALMEIRAS DE GOIÁS,GO,23049.0
FRANCISCO REGINALDO NOGUEIRA,PSD,ANDRELÂNDIA,MG,23041.0
LUIZ GUSTAVO FERRAREZ,PL,MINEIROS DO TIETÊ,SP,23000.0
RODRIGO PIMENTEL DA SILVA COELHO,REPUBLICANOS,BENEDITO LEITE,MA,23000.0
RAILTON SENA PASSOS,PL,MUCURICI,ES,23000.0
ARIANO MESSIAS NOGUEIRA PARANAGUÁ,PT,CRISTALÂNDIA DO PIAUÍ,PI,23000.0
CARLOS ALEXANDRE DE SOUZA RIBEIRO,PL,ITAPEMA,SC,23000.0
JOÃO PAULO GUEDES LOPES,MDB,LAGOA D'ANTA,RN,23000.0
BRUNO PELLA,PODE,RIO BANANAL,ES,22950.0
LEONARDO ROCHA ZANARDO,PRD,ITATINGA,SP,22930.0
ERIVELTON KLEBER DA SILVA FERREIRA,PSB,CAPIM,PB,22900.0
MAIRA BRANCO MONTEIRO,MDB,SILVA JARDIM,RJ,22873.0
ALDAIR MARQUES MARTINS,PSD,CORDISBURGO,MG,22847.7
GIVANILDO NUNES DE SOUZA,SOLIDARIEDADE,SÃO SEBASTIÃO,SP,22809.98
CLAUDIOMAR CONTIN PORTUGAL,PP,ACREÚNA,GO,22800.0
JORGE ROGERIO COSTA SOUZA,PSD,APUAREMA,BA,22799.67
SEBASTIÃO PEREIRA DA COSTA NETO,PDT,FORTUNA,MA,22760.0
GERALDO GUEDES RODRIGUES,REPUBLICANOS,SÃO JOSÉ DO DIVINO,MG,22754.0
DENIS TADEU LEITE FRANCO,PRD,PLANALTINA,GO,22748.0
JACSON MARLON NIEDERMEIER,UNIÃO,ALTO ARAGUAIA,MT,22740.8
PATRICIA SANTOS DE CASTRO,PT,CAÇAPAVA DO SUL,RS,22726.0
CARLOS SUSSUMI IVAMA,MDB,ALTO ALEGRE,SP,22725.0
JUARES ROSSINI,MDB,PALMITOS,SC,22716.0
HENRIQUE SPIRANDELI DE ANDRADE,SOLIDARIEDADE,SACRAMENTO,MG,22627.07
THIALLY ARISTOTELIS DE OLIVEIRA,PSB,VIEIRÓPOLIS,PB,22625.0
CLEOCIR DIAS,PSD,ÁGUAS DE SANTA BÁRBARA,SP,22602.059999999998
MARCOS VINICIUS CUNHA DIAS,PODE,NOVO ORIENTE DO PIAUÍ,PI,22600.0
JOSE CANDIDO ROCHA ARAUJO,PSD,ITAMBÉ,BA,22592.0
NEUILSON DA SILVA LIMA,UNIÃO,CANABRAVA DO NORTE,MT,22567.3
FRANCISCO CLAUDIO PINTO PINHO,PDT,SÃO GONÇALO DO AMARANTE,CE,22521.06
CELSO BASSANI BARBOSA,PSDB,XANGRI-LÁ,RS,22515.0
LOURIVAL CAVINI JÚNIOR,UNIÃO,BUENO BRANDÃO,MG,22502.0
VICTOR BRUNO MARINHO PEREIRA,PSTU,SALVADOR,BA,22500.0
JOSEILMA QUIDUTE SOBREIRA,REPUBLICANOS,CARNAÍBA,PE,22500.0
PAULO ROBERTO DALLA CORTE,PP,CATUÍPE,RS,22481.0
SAULO EMMANUEL ATIQUE FILHO,PSD,PRADÓPOLIS,SP,22480.0
ITELMA BELARMINO DE OLIVEIRA RESPLANDES,PDT,SANTA TEREZINHA DO TOCANTINS,TO,22452.3
ROBERTO DE OLIVEIRA SILVA,MDB,GONGOGI,BA,22400.0
LELIO ALVES BRITO JUNIOR,PT,PRESIDENTE JÂNIO QUADROS,BA,22400.0
MILENA KAREN TAVARES NOGUEIRA,MDB,MONTE HOREBE,PB,22390.0
WELERSON ULTIMO DE SOUZA,PRD,DORES DE GUANHÃES,MG,22380.0
RAPHAEL DIAS SMPAIO,PP,CORNÉLIO PROCÓPIO,PR,22375.0
FELIPE TEODORO SANCHES,PSDB,ALBERTINA,MG,22364.0
JOSE FERNANDO COURA,PT,DELFIM MOREIRA,MG,22362.7
JOSÉ MANOEL FERREIRA GONÇALVES,PSOL,GUARUJÁ,SP,22351.42
TIAGO PEDROSA LAZZARONI DALPERIO,PP,TOMBOS,MG,22336.25
JAIR ROCHA DO PRADO,NOVO,MONTE CARMELO,MG,22335.0
GENOIR MARCOS FLOREK,PL,CENTENÁRIO,RS,22332.0
RILDO BERNARDES DE CAMARGO,MDB,SÃO PEDRO DO IVAÍ,PR,22330.0
ROGÉRIO APARECIDO SIMOSO,MDB,CONCHAL,SP,22328.8
JORGE BARBOSA DE SOUZA,PSD,SAPUCAIA DO SUL,RS,22313.0
VANDERLAN CARVALHO DE VASCONSELOS,NOVO,ESTEIO,RS,22274.6
DIEGO HENRIQUE RODRIGUES MIRANDA,NOVO,CRUZEIRO,SP,22265.0
ADEMAR CASAGRANDE,NOVO,CAPINZAL,SC,22264.69
JANIMEIRI CATELANI BUZZI,PODE,BADY BASSITT,SP,22250.8
EDUARDO OLIVEIRA BRASILEIRO,PT,ALMENARA,MG,22248.0
JOSE VICENTE BAROSA,MDB,ALFREDO VASCONCELOS,MG,22245.0
ESLANE SILVA DA PAIXÃO,UP,SALVADOR,BA,22220.0
EBERTON RUIZ JACQUET,PSB,PORTO MURTINHO,MS,22158.0
MONALISA RUARO,PL,CATANDUVAS,SC,22080.0
ROBERTO OLIVEIRA DA SILVA,PSB,MONTEIRO LOBATO,SP,22075.97
THAISE GOMES DE SOUSA,PP,SÃO JOSÉ DE ESPINHARAS,PB,22070.0
CARLOS ALBERTO QUEIROZ PEREIRA,PSB,CHORÓ,CE,22070.0
EDNEI DE SOUZA,NOVO,GASPAR,SC,22063.13
MARIA DAS GRAÇAS SOUZA GARCEZ,REPUBLICANOS,ITAPORANGA D'AJUDA,SE,22054.0
LUIZ CARLOS PORTO MARTINS,PSB,NARANDIBA,SP,22023.5
GUSTAVO MARTINELLI,UNIÃO,JUNDIAÍ,SP,22000.0
JOSE DOMINGOS FERNANDES BARRA,PT,CAMETÁ,PA,22000.0
JOSE NILTON DE FREITAS,PL,BOM JESUS DO ARAGUAIA,MT,22000.0
GERALDO AUGUSTO ALVES MATOSINHOS,AVANTE,BRUMADINHO,MG,22000.0
JOÃO BATISTA VIVARELLI,PRTB,DIVINOLÂNDIA,SP,21976.8
THIAGO GONÇALVES DE LIMA,PSD,XEXÉU,PE,21970.0
CHARLES CORREA,PSB,OIAPOQUE,AP,21960.0
FRANCISCO DAVID FRIGHETTO,REPUBLICANOS,ANTA GORDA,RS,21926.0
FRANCISCO NERES MOREIRA POLICARPO,PSB,LAGOA GRANDE DO MARANHÃO,MA,21920.0
JOÃO PEDRO MAGON,PSD,NOVO ITACOLOMI,PR,21900.379999999997
PABLO LIBERAL BORTOLAS,PL,SANTA CARMEM,MT,21886.0
IRACI FERREIRA DE SOUZA,PSDB,PEDRA PRETA,MT,21875.0
ANTONIO CORDEIRO DE FARIA JUNIOR,MDB,CORAÇÃO DE JESUS,MG,21873.6
FÁBIO HENRIQUES DUTRA,MDB,CARANAÍBA,MG,21856.39
ELIZANGELA CRISTINA LARA DINIZ,SOLIDARIEDADE,CRUCILÂNDIA,MG,21854.0
PAULA FRANCISCA FELISBERTO,REDE,CAMBUQUIRA,MG,21726.7
LAURO GATTO,PDT,SANTO ANTÔNIO DO PALMA,RS,21712.0
LUCILHA DE ALMEIDA,PP,TERENOS,MS,21706.0
JOCIMAR CESAR BRANDÃO,AVANTE,PRUDENTE DE MORAIS,MG,21695.9
HELY ANDRADE ALVES,MDB,CARRANCAS,MG,21694.0
ELAINE APARECIDA MARION PIOVESAN,PT,LOBATO,PR,21626.0
UBIRATAN MARTINS DOS SANTOS,PDT,SANTA CRUZ DO PIAUÍ,PI,21574.0
JOÃO RABELO DE SÁ NETO,PSB,APARECIDA,PB,21560.0
JOAO BECHARA NETTO,PSDB,ITAPEMIRIM,ES,21558.0
LEONARDO NOLETO MOREIRA,REPUBLICANOS,SANTA MARIA DO TOCANTINS,TO,21556.0
ROBERTO DE OLIVEIRA QUEIROZ COSTA,PSD,CANTAGALO,MG,21530.0
EDSON SCHROEDER,PL,MORMAÇO,RS,21500.13
RENATO SUSS,PL,CARAZINHO,RS,21500.0
DEYVISON GONÇALVES CRUZ,PT,JOAQUIM PIRES,PI,21500.0
WILBER JOSE DE SOUZA,PRD,BELA VISTA DE MINAS,MG,21500.0
JOÃO PAULO LAMOUNIER,PP,CAMACHO,MG,21471.0
MIRELI CRISTINA LEITE RUVIÉRI MARTINS,PSD,ORINDIÚVA,SP,21469.6
PAULO SERGIO DE ALMEIDA PACHECO,REPUBLICANOS,CHAVAL,CE,21451.5
FRANCISCO COELHO DA SILVA,PC do B,MANACAPURU,AM,21450.0
VAGNER ANTONIO DA SILVA,PDT,SÃO SEBASTIÃO DO OESTE,MG,21420.0
AYERTON ROMANO SILVA JUNIOR,NOVO,SETE LAGOAS,MG,21412.0
ADROALDO SEBEN,UNIÃO,VILA MARIA,RS,21382.35
LUIZ FELIPE DE MIRANDA,REPUBLICANOS,BRASILÂNDIA DO TOCANTINS,TO,21360.0
LEOSMIR ATANAZIO GAMA,PT,PILÃO ARCADO,BA,21350.0
SELSO PELIN,CIDADANIA,FAXINALZINHO,RS,21341.0
LUAN PEREIRA XAVIER GOMES,PSB,HIDROLÂNDIA,CE,21330.0
GILBERTO FIORI DE OLIVEIRA,PSD,ALTINÓPOLIS,SP,21320.0
ELON DE OLIVEIRA FERRARI,PSB,CÓRREGO NOVO,MG,21311.0
ANTONIO CORDEIRO DO NASCIMENTO,PODE,JATAÚBA,PE,21300.0
MANASSES SANTOS SOUZA,AVANTE,MARAÚ,BA,21300.0
JOÃO BERCHMANS PESSOA TEIXEIRA,REPUBLICANOS,BARÃO DE COCAIS,MG,21298.6
JONES ROBERTO CECCHIN,PP,IBIAÇÁ,RS,21261.5
GERALDO JOSÉ DO CARMO,PSB,VERMELHO NOVO,MG,21260.0
APARECIDO BUZATO,REPUBLICANOS,LIDIANÓPOLIS,PR,21238.5
LUIZ QUEQUIM NETO,MDB,IACANGA,SP,21235.0
JOSE LUIZ MIRANDA,MDB,CONCHAS,SP,21231.0
EDSON PALOTTA NETTO,PP,SANTA FÉ,PR,21225.0
ATLOS CACIO DE SOUZA PEREIRA GOMES,PDT,LASSANCE,MG,21204.0
MARCOS MENDES DA SILVA,MDB,SANDOVALINA,SP,21190.0
EDIEL BARBOSA LIMA,MDB,CRAÍBAS,AL,21150.0
JULIO FERNANDO GALVÃO DIAS,PL,CAPÃO BONITO,SP,21140.0
EDVANILTON BATISTA QUEIROGA,PODE,SÃO FRANCISCO,PB,21110.0
RUY FERNANDES DE AZEVEDO,PT,GUANAMBI,BA,21100.0
MATHEUS MAFEPI DE OLIVEIRA PINTO,PL,SÃO JOSÉ DO RIO PARDO,SP,21100.0
ROGER ROBERTO MEDEIROS,PSDB,IBIÁ,MG,21080.0
DJALMA EUGENIO GUARDA JUNIOR,PSDB,JATAIZINHO,PR,21040.0
FERNANDO ANTONIO DUTRA MACEDO,MDB,RIO POMBA,MG,21039.2
RONI DONIZETI ASTORFO,PSD,TAMBAÚ,SP,21028.9
SAULO COSTA MOREIRA,PDT,MARIANÓPOLIS DO TOCANTINS,TO,21010.0
PATRICK CORREA,REPUBLICANOS,IMARUÍ,SC,21000.0
MARCOS VINICIUS DE PAULA,REPUBLICANOS,SÃO JOÃO DO MANTENINHA,MG,21000.0
ANTONIA TELVANIA FERREIRA BRAZ BARRETO,PSB,PARAMOTI,CE,21000.0
FRANCISCO AFONSO PADILHA DE MELO,PDT,PAULISTA,PE,21000.0
CLEITOM JACOME DA COSTA,PL,VENHA-VER,RN,20988.33
LUCIANO DE SÁ MADUREIRA,MOBILIZA,PASSABÉM,MG,20986.0
WALDIR BATISTA RIOS,PODE,ARAGOIÂNIA,GO,20983.0
LEONARDO GOMES SANTOS,PSD,MANOEL VITORINO,BA,20981.739999999998
PEDRO LUIZ OSTETO,PL,BOM JARDIM DA SERRA,SC,20980.0
WESLEY MOREIRA LIMA,REPUBLICANOS,CONCEIÇÃO DO PARÁ,MG,20962.5
MARNE MATEUS VITORINO DE SOUZA,PSDB,MOSTARDAS,RS,20933.67
JHONY WESLLYS BEZERRA COSTA,PSB,CAMPINA GRANDE,PB,20900.0
JOSÉLIA MELO DE LIMA,PP,CANAPI,AL,20900.0
PAULO DE QUEIROZ SOUZA,PSD,ICARAÍMA,PR,20886.0
SERGIO ANTONIO LASCH,UNIÃO,LAGOA DOS TRÊS CANTOS,RS,20854.05
ERIVALDO CONEGUNDES DA CAMARA,PT,CRISTÓPOLIS,BA,20835.0
SÉRGIO PAULO CAMPOS,PSDB,FRONTEIRA,MG,20827.5
ELDER CASSIO DE SOUZA OLIVA,PL,IPUIÚNA,MG,20826.0
DIRCEU PACHECO DE OLIVEIRA,REPUBLICANOS,BOM SUCESSO DE ITARARÉ,SP,20815.0
JOSÉ JAIR WERMANN,NOVO,ESTRELA,RS,20810.9
ALCIDES EMILIO PAGANOTTO,PSDB,PANTANO GRANDE,RS,20800.0
