NM_CANDIDATO,Partido,NM_UE,Estado,total
EDUARDO PEDROSA CURY,PL,SÃO JOSÉ DOS CAMPOS,SP,1169344.12
JOSE BERNARDO ORTIZ MONTEIRO JUNIOR,REPUBLICANOS,TAUBATÉ,SP,1163484.7
ALENCAR SANTANA BRAGA,PT,GUARULHOS,SP,1153900.33
WELLINGTON SOARES CARRIJO FILHO,MDB,RIO VERDE,GO,1139404.4
REINALDO ALVES MOREIRA FILHO,REPUBLICANOS,SÃO SEBASTIÃO,SP,1133226.1
FABIO NUNEZ NOVO,PT,TERESINA,PI,1124880.85
JOSÉ CERQUEIRA DE SANTANA NETO,PT,FEIRA DE SANTANA,BA,1118481.27
SEBASTIAO DE BARROS QUINTAO,MDB,IPATINGA,MG,1075166.58
FLÁVIA MORANDO SANTOS,UNIÃO,SÃO BERNARDO DO CAMPO,SP,1032943.5
ATILA CESAR MONTEIRO JACOMUSSI,UNIÃO,MAUÁ,SP,1032606.39
ALCIDES RIBEIRO FILHO,PL,APARECIDA DE GOIÂNIA,GO,1030027.84
PAULO SERGIO FERREIRA,PP,UBERLÂNDIA,MG,1026380.7
CELSO LUIS PEREIRA DO NASCIMENTO,UNIÃO,DUQUE DE CAXIAS,RJ,1023860.0
INÁCIO JUSTINO FALCÃO PEREIRA,PC do B,CAMPINA GRANDE,PB,1020000.0
RICARDO AUGUSTO MACHADO DA SILVA,PSD,RIBEIRÃO PRETO,SP,1018125.13
GERI NATALINO DUTRA,PL,PATO BRANCO,PR,1014800.7
MARCOS FERREIRA GODOY,PODE,ITAPEVI,SP,1005003.63
ELVIS LEONARDO CEZAR,REPUBLICANOS,SANTANA DE PARNAÍBA,SP,984790.7
CANDISSE MATOS CORREIA CARVALHO SANTOS,PT,ARACAJU,SE,973254.06
MADELEINE FARIAS RANGEL DYKEMAN,UNIÃO,CAMPOS DOS GOYTACAZES,RJ,972870.0
CICERO DE LUCENA FILHO,PP,JOÃO PESSOA,PB,962310.14
HUMBERTO JOSÉ HENRIQUE,PT,MARINGÁ,PR,958086.4
RODRIGO DECIMO,PSDB,SANTA MARIA,RS,942898.97
HUGO PRADO,REPUBLICANOS,EMBU DAS ARTES,SP,925714.77
FABIO ROGERIO BARBOSA CÂMARA,PDT,SÃO LUÍS,MA,922209.0
MIGUEL VAZ RIBEIRO,REPUBLICANOS,LUCAS DO RIO VERDE,MT,919097.06
LUIZ GUSTAVO PINHEIRO VOLPI,PL,RIBEIRÃO PIRES,SP,911633.32
LUIZ ROBERTO DANTAS DE SANTANA,PDT,ARACAJU,SE,909009.05
VINICIUS BRAGA SARAIVA DE RESENDE,PV,BETIM,MG,883535.66
DIEGO VAZ SORGATTO,UNIÃO,LUZIÂNIA,GO,865262.86
LUIZ JOSÉ INOJOSA DE MEDEIROS,PL,JABOATÃO DOS GUARARAPES,PE,858833.53
FRANCISCO MARCELO DE OLIVEIRA,PT,MAUÁ,SP,857614.05
